0,1,2,3,4,5,6,7,8,9,10,Overs
62.5,62.4,62.2,61.6,59.9,55.3,44.3,25.3,8.6,1.8,0,31.1
62.8,62.7,62.5,61.9,60.2,55.6,44.5,25.3,8.6,1.8,0,31.2
63.1,63.1,62.8,62.2,60.5,55.8,44.6,25.4,8.6,1.8,0,31.3
63.5,63.4,63.2,62.6,60.8,56.1,44.8,25.4,8.6,1.8,0,31.4
63.8,63.7,63.5,62.9,61.1,56.3,45,25.4,8.6,1.8,0,31.5
,,,,,,,,,,,31.6
,,,,,,,,,,,31.7
,,,,,,,,,,,31.8
,,,,,,,,,,,31.9
64.1,64,63.8,63.2,61.4,56.6,45.1,25.5,8.6,1.8,0,32
64.5,64.4,64.2,63.5,61.7,56.9,45.3,25.5,8.6,1.8,0,32.1
64.8,64.7,64.5,63.8,62,57.1,45.4,25.5,8.6,1.8,0,32.2
65.1,65,64.8,64.2,62.4,57.4,45.6,25.6,8.6,1.8,0,32.3
65.5,65.4,65.1,64.5,62.7,57.6,45.7,25.6,8.6,1.8,0,32.4
65.8,65.7,65.5,64.8,63,57.9,45.9,25.6,8.6,1.8,0,32.5
,,,,,,,,,,,32.6
,,,,,,,,,,,32.7
,,,,,,,,,,,32.8
,,,,,,,,,,,32.9
66.1,66,65.8,65.1,63.3,58.1,46.1,25.7,8.6,1.8,0,33
66.5,66.4,66.1,65.5,63.6,58.4,46.2,25.7,8.6,1.8,0,33.1
66.8,66.7,66.5,65.8,63.9,58.7,46.4,25.7,8.6,1.8,0,33.2
67.1,67,66.8,66.1,64.2,58.9,46.5,25.8,8.6,1.8,0,33.3
67.5,67.4,67.1,66.4,64.5,59.2,46.7,25.8,8.6,1.8,0,33.4
67.8,67.7,67.4,66.8,64.8,59.4,46.8,25.8,8.6,1.8,0,33.5
,,,,,,,,,,,33.6
,,,,,,,,,,,33.7
,,,,,,,,,,,33.8
,,,,,,,,,,,33.9
68.1,68,67.8,67.1,65.1,59.7,47,25.9,8.6,1.8,0,34
68.4,68.4,68.1,67.4,65.4,59.9,47.1,25.9,8.6,1.8,0,34.1
68.8,68.7,68.4,67.7,65.7,60.2,47.3,25.9,8.6,1.8,0,34.2
69.1,69,68.8,68,66,60.4,47.4,25.9,8.6,1.8,0,34.3
69.4,69.4,69.1,68.4,66.3,60.7,47.6,26,8.6,1.8,0,34.4
69.8,69.7,69.4,68.7,66.6,60.9,47.7,26,8.6,1.8,0,34.5
,,,,,,,,,,,34.6
,,,,,,,,,,,34.7
,,,,,,,,,,,34.8
,,,,,,,,,,,34.9
70.1,70,69.8,69,66.9,61.2,47.9,26,8.6,1.8,0,35
70.4,70.3,70.1,69.3,67.2,61.4,48,26.1,8.6,1.8,0,35.1
70.8,70.7,70.4,69.7,67.5,61.7,48.1,26.1,8.6,1.8,0,35.2
71.1,71,70.7,70,67.8,61.9,48.3,26.1,8.6,1.8,0,35.3
71.4,71.3,71.1,70.3,68.1,62.2,48.4,26.1,8.6,1.8,0,35.4
71.8,71.7,71.4,70.6,68.4,62.4,48.6,26.2,8.6,1.8,0,35.5
,,,,,,,,,,,35.6
,,,,,,,,,,,35.7
,,,,,,,,,,,35.8
,,,,,,,,,,,35.9
72.1,72,71.7,70.9,68.7,62.7,48.7,26.2,8.6,1.8,0,36
72.4,72.3,72.1,71.3,69,62.9,48.9,26.2,8.6,1.8,0,36.1
72.8,72.7,72.4,71.6,69.3,63.2,49,26.2,8.6,1.8,0,36.2
73.1,73,72.7,71.9,69.6,63.4,49.1,26.3,8.6,1.8,0,36.3
73.4,73.3,73,72.2,69.9,63.7,49.3,26.3,8.6,1.8,0,36.4
73.8,73.7,73.4,72.5,70.2,63.9,49.4,26.3,8.6,1.8,0,36.5
,,,,,,,,,,,36.6
,,,,,,,,,,,36.7
,,,,,,,,,,,36.8
,,,,,,,,,,,36.9
74.1,74,73.7,72.9,70.5,64.2,49.6,26.3,8.6,1.8,0,37
74.4,74.3,74,73.2,70.8,64.4,49.7,26.4,8.6,1.8,0,37.1
74.8,74.7,74.4,73.5,71.1,64.7,49.8,26.4,8.6,1.8,0,37.2
75.1,75,74.7,73.8,71.4,64.9,50,26.4,8.6,1.8,0,37.3
75.4,75.3,75,74.2,71.7,65.2,50.1,26.4,8.6,1.8,0,37.4
75.8,75.7,75.3,74.5,72,65.4,50.3,26.5,8.6,1.8,0,37.5
,,,,,,,,,,,37.6
,,,,,,,,,,,37.7
,,,,,,,,,,,37.8
,,,,,,,,,,,37.9
76.1,76,75.7,74.8,72.3,65.7,50.4,26.5,8.6,1.8,0,38
76.4,76.3,76,75.1,72.6,65.9,50.5,26.5,8.6,1.8,0,38.1
76.8,76.6,76.3,75.4,72.9,66.2,50.7,26.5,8.6,1.8,0,38.2
77.1,77,76.7,75.8,73.2,66.4,50.8,26.6,8.6,1.8,0,38.3
77.4,77.3,77,76.1,73.5,66.6,50.9,26.6,8.6,1.8,0,38.4
77.8,77.6,77.3,76.4,73.8,66.9,51.1,26.6,8.6,1.8,0,38.5
,,,,,,,,,,,38.6
,,,,,,,,,,,38.7
,,,,,,,,,,,38.8
,,,,,,,,,,,38.9
78.1,78,77.6,76.7,74.1,67.1,51.2,26.6,8.6,1.8,0,39
78.4,78.3,78,77,74.4,67.4,51.3,26.6,8.6,1.8,0,39.1
78.8,78.6,78.3,77.4,74.7,67.6,51.5,26.7,8.6,1.8,0,39.2
